query,n,cout_opt,cout_when_cmax,cmax_opt,cmax_when_cout,bounded_cout_opt
../../queries/ceb-imdb-full/1a_1a106.csv,9,2525181,4387066,1867232,1867232,2525181
../../queries/ceb-imdb-full/9a_74bf62652aa48baf66cfda68284d7cdb0a395f35.csv,9,259388,282542,227198,227198,259388
../../queries/ceb-imdb-full/9a_420eb50dd228086435d23b52877cce8466e76f41.csv,9,142054,142054,42597,42597,142054
../../queries/ceb-imdb-full/9a_88db28108227f0931dc5617a6a8e365db215a924.csv,9,3107291,5095264,1197520,1197520,3107291
../../queries/ceb-imdb-full/3a_3a303.csv,10,28635,28957,19056,19056,28635
../../queries/ceb-imdb-full/9a_ae321a305be61210e27c17dd89ea4ed4717fd999.csv,9,94624,94624,25395,25395,94624
../../queries/ceb-imdb-full/9a_bdaff5eaf957a6ccd29b07c4446bdfe52b01be17.csv,9,1752661,1752661,644872,644872,1752661
../../queries/ceb-imdb-full/9a_e57f72e766d325538362c5abda3a91f728fa2106.csv,9,17836,56726,16271,16271,17836
../../queries/ceb-imdb-full/2a_2a578.csv,11,244122,343995,126085,126085,244122
../../queries/ceb-imdb-full/1a_1a2332.csv,9,50408,66055,32058,32414,55268
../../queries/ceb-imdb-full/10a_bf563675664fe270c5f25705175794a52615678a.csv,7,61522,66063,50833,50833,61522
../../queries/ceb-imdb-full/10a_454f69c7b16d9843d9a1872054bd70e31f18f53d.csv,7,88238,88238,47092,47092,88238
../../queries/ceb-imdb-full/1a_1a2454.csv,9,575224,592018,455639,459289,591995
../../queries/ceb-imdb-full/4a_4a481.csv,6,64370,64370,40612,40612,64370
../../queries/ceb-imdb-full/3b_5dedee644f491a3db81a773ed7010de31fe9f1c8.csv,10,274276,412546,68170,68170,274276
../../queries/ceb-imdb-full/3a_3a465.csv,10,1900669,2849363,1433597,1433597,1900669
../../queries/ceb-imdb-full/10a_3c05b8255a071214fbbe9d03be72b3c03cc89064.csv,7,167028,278526,139794,139794,167028
../../queries/ceb-imdb-full/2b_2b247.csv,11,25713,27430,11128,11128,25713
../../queries/ceb-imdb-full/2c_2c270.csv,9,5563,7630,1732,1732,5563
../../queries/ceb-imdb-full/1a_1a660.csv,9,808188,822232,773674,773674,808188
../../queries/ceb-imdb-full/2b_2b253.csv,11,368346,415342,145311,145311,368346
../../queries/ceb-imdb-full/2c_2c264.csv,9,1136,1223,835,835,1136
../../queries/ceb-imdb-full/1a_1a1149.csv,9,14841896,17453439,8145165,8145165,14841896
../../queries/ceb-imdb-full/10a_c34f57e8d6907c58e46c2d53d7051bef29802cf6.csv,7,59772,113646,48920,48920,59772
../../queries/ceb-imdb-full/1a_1a674.csv,9,13752,13902,6571,6591,13902
../../queries/ceb-imdb-full/9a_547cbbea2890b7f0ae8bee9fc8c18ebcdfcd2da8.csv,9,1261514,1278217,322711,322711,1261514
../../queries/ceb-imdb-full/10a_26a14c598b85eeb1d7846bf5741493ecd120e6ff.csv,7,12715,18980,10387,10387,12715
../../queries/ceb-imdb-full/2b_2b16.csv,11,1055,1076,432,432,1055
../../queries/ceb-imdb-full/4a_4a495.csv,6,11550,11550,5449,5449,11550
../../queries/ceb-imdb-full/1a_1a2440.csv,9,503888,519201,311698,312031,511571
../../queries/ceb-imdb-full/10a_e40080fdbab507f0f65439f96adabbb7bc36bbbe.csv,7,31974,33362,14538,14538,31974
../../queries/ceb-imdb-full/3a_3a471.csv,10,105480,108135,53961,53961,105480
../../queries/ceb-imdb-full/3a_3a317.csv,10,9094,9105,7476,7476,9094
../../queries/ceb-imdb-full/9a_e858597629fa7a13e909744691c82c187be634ed.csv,9,44909,73754,21148,21148,44909
../../queries/ceb-imdb-full/5a_5a588.csv,10,2677,2750,1074,1074,2677
../../queries/ceb-imdb-full/10a_759a7ed7fe8b797863c68725f68599d2684479a0.csv,7,671854,671854,299945,299945,671854
../../queries/ceb-imdb-full/1a_1a2326.csv,9,864967,873045,387832,387832,864967
../../queries/ceb-imdb-full/1a_1a112.csv,9,482391,586001,478860,478863,585970
../../queries/ceb-imdb-full/10a_6e8bf6e076ba77115320f32daaada1a4e920be13.csv,7,36460,45506,30659,30659,36460
../../queries/ceb-imdb-full/9b_b7c5cfa60184f95558b2efb75603fc8505aa6ea7.csv,9,3718,3718,2163,2163,3718
../../queries/ceb-imdb-full/9a_c0613d69e86eee2427c1235f057a241b5371c998.csv,9,251270,405613,136202,136202,251270
../../queries/ceb-imdb-full/4a_4a318.csv,6,6982,6982,5738,5738,6982
../../queries/ceb-imdb-full/2a_2a587.csv,11,36710,66021,29987,29987,36710
../../queries/ceb-imdb-full/5a_5a563.csv,10,12148,24615,10917,10917,12148
../../queries/ceb-imdb-full/8a_8a351.csv,12,303153,537740,114735,114735,303153
../../queries/ceb-imdb-full/5a_5a205.csv,10,427521,476095,107706,107706,427521
../../queries/ceb-imdb-full/8a_8a437.csv,12,320461,539788,86309,86309,320461
../../queries/ceb-imdb-full/11b_c03fea79719661b00f54552a112e4e88b9e63639.csv,12,523805,572829,374844,380421,572829
../../queries/ceb-imdb-full/9a_645d3e67eb511038d2c0fd2b482dc8e347a1ec2e.csv,9,76631,188890,50931,50931,76631
../../queries/ceb-imdb-full/9a_06acc00f46871f8eda261d7320668df6f7e69167.csv,9,1375822,1983534,1257821,1257821,1375822
../../queries/ceb-imdb-full/1a_1a847.csv,9,30765,34136,12752,12752,30765
../../queries/ceb-imdb-full/10a_8797900e2a9735852d9392df615892d04272b391.csv,7,130037,152119,89444,89444,130037
../../queries/ceb-imdb-full/9a_3ff52490b80af0033d6ff5c55d34ea8dd82da7e1.csv,9,213449,213449,201901,201901,213449
../../queries/ceb-imdb-full/10a_db035cd4bd97a45fbccfd61a7d7d11a861d35586.csv,7,40947,43186,17535,17535,40947
../../queries/ceb-imdb-full/9b_b3e9940adfe4040b99abef2da6060c98128794a5.csv,9,129935,257309,117370,117370,129935
../../queries/ceb-imdb-full/1a_1a853.csv,9,309541,314438,247987,247994,314438
../../queries/ceb-imdb-full/11a_2219a9af7e42c2908f38326da7a58d23bc6f30b6.csv,10,699718,873832,222929,222929,699718
../../queries/ceb-imdb-full/5a_5a211.csv,10,63055,63223,30266,30266,63055
../../queries/ceb-imdb-full/8a_8a423.csv,12,776672,1333750,218268,218268,776672
../../queries/ceb-imdb-full/2a_2a593.csv,11,3131129,3429694,1188636,1188636,3131129
../../queries/ceb-imdb-full/5a_5a577.csv,10,201947,202386,94076,94076,201947
../../queries/ceb-imdb-full/8a_8a345.csv,12,164915,454406,121636,121636,164915
../../queries/ceb-imdb-full/10a_4132d1d8eee684ef93d3840fff8339cf95a11716.csv,7,179671,210514,165820,165820,179671
../../queries/ceb-imdb-full/1a_1a1808.csv,9,763078,770877,530766,533543,770144
../../queries/ceb-imdb-full/10a_36b74e9f9edfb499fe78ed4df7544d76ed3ec953.csv,7,23694,33929,21556,21556,23694
../../queries/ceb-imdb-full/3b_038d434d9b927f7c25ee98aaffe9c26eb4c32d77.csv,10,58678,105623,53011,53011,58678
../../queries/ceb-imdb-full/11a_a0eda2a3922e98cb9a5584c232930c0790c6641f.csv,10,2427646,4050316,943470,943470,2427646
../../queries/ceb-imdb-full/4a_4a324.csv,6,67016,67016,33442,33442,67016
../../queries/ceb-imdb-full/9a_85b382b5427bd629a23f8a87b598b44c282922b4.csv,9,1238732,3200597,752912,752912,1238732
../../queries/ceb-imdb-full/1a_1a1820.csv,9,245517,274121,165050,183645,256078
../../queries/ceb-imdb-full/11b_28abb0f2bbefb9c307e1fd67e403fb6daccacdff.csv,12,976872,1261424,819379,819379,976872
../../queries/ceb-imdb-full/2b_2b284.csv,11,24496,30815,19528,19528,24496
../../queries/ceb-imdb-full/5a_5a239.csv,10,66266,67603,29460,29460,66266
../../queries/ceb-imdb-full/3a_3a1073.csv,10,49468,49468,16188,16188,49468
../../queries/ceb-imdb-full/4a_4a442.csv,6,323025,323025,179235,179235,323025
../../queries/ceb-imdb-full/1a_1a2497.csv,9,815894,870669,552059,555634,870669
../../queries/ceb-imdb-full/11b_03ecf55605843bbbbf49ea995be9be55bef53cff.csv,12,20802,21630,11914,12087,21630
../../queries/ceb-imdb-full/9a_f5e39057cf5af529ee7c22f0aecd5ea07f039687.csv,9,4663641,6051845,2218539,2218539,4663641
../../queries/ceb-imdb-full/3a_3a1067.csv,10,36770,43021,17834,17834,36770
../../queries/ceb-imdb-full/1a_1a2483.csv,9,3940222,3940222,2353177,2353177,3940222
../../queries/ceb-imdb-full/9a_6742c92780bebde5259fa3007334ff0c859d9ab9.csv,9,204498,598551,139631,139631,204498
../../queries/ceb-imdb-full/4a_4a456.csv,6,10182,10188,9798,9798,10182
../../queries/ceb-imdb-full/2b_2b290.csv,11,320412,534600,90411,90411,320412
../../queries/ceb-imdb-full/6a_6a135.csv,14,11979,20708,8826,9317,19296
../../queries/ceb-imdb-full/1a_1a1834.csv,9,104927,106188,88554,88554,104927
../../queries/ceb-imdb-full/9a_a1dbc432b99617a6244aae5fc6791ec7577130d2.csv,9,17256,22964,4907,4907,17256
../../queries/ceb-imdb-full/4a_4a330.csv,6,53189,53189,26478,26478,53189
../../queries/ceb-imdb-full/9a_6f901e8fa55e77147409d40ae77d501b87fc4744.csv,9,329317,336135,236813,236813,329317
../../queries/ceb-imdb-full/8a_8a379.csv,12,109245,152030,67963,67963,109245
../../queries/ceb-imdb-full/10a_d1115f97adbada46e0ab8b926ec1b71cd0593671.csv,7,36509,44350,30905,30905,36509
../../queries/ceb-imdb-full/3a_3a883.csv,10,184036,254325,101982,101982,184036
../../queries/ceb-imdb-full/9a_2ec81a4f29a81b4a52d63d0d6c9713060889a2a8.csv,9,410422,410422,359954,359954,410422
../../queries/ceb-imdb-full/10a_5a95a9b97ba56bafd3042e2ba9ccc1025b2ea14c.csv,7,9702,19451,8828,8828,9702
../../queries/ceb-imdb-full/9a_05002af0c9ed9bcb905bb52debe1fe253187c10a.csv,9,142143,158970,132780,132780,142143
../../queries/ceb-imdb-full/1a_1a1363.csv,9,331341,339334,276403,276403,331341
../../queries/ceb-imdb-full/9a_f7739302f2ce4a214c54f1f71172f469659665de.csv,9,1887653,2304546,1110118,1110118,1887653
../../queries/ceb-imdb-full/1a_1a1405.csv,9,2592617,2638033,1882869,1963268,2638033
../../queries/ceb-imdb-full/9a_fbb9739bce55f70203b11ecbf75fae91611ee97e.csv,9,159417,181873,52322,52322,159417
../../queries/ceb-imdb-full/1a_1a338.csv,9,150238,150238,100995,100995,150238
../../queries/ceb-imdb-full/9a_5356abae9765c9de0dcb9d43520c306ce5aa8541.csv,9,312025,1065925,263454,263454,312025
../../queries/ceb-imdb-full/11a_ec4667cb1394755b47c378781ad48e7743a75753.csv,10,2315496,2714309,1195220,1195220,2315496
../../queries/ceb-imdb-full/2a_2a746.csv,11,64654,95984,44705,44705,64654
../../queries/ceb-imdb-full/8a_8a190.csv,12,351458,405084,103540,103540,351458
../../queries/ceb-imdb-full/2a_2a752.csv,11,132948,132948,46616,46616,132948
../../queries/ceb-imdb-full/1a_1a2118.csv,9,346727,361097,276403,276403,346727
../../queries/ceb-imdb-full/10a_50cdef3715f1d6d05e3e94afd5c0ef0f5d1f4bf4.csv,7,3998,5110,2780,2780,3998
../../queries/ceb-imdb-full/3a_3a129.csv,10,28219,37638,10430,15001,30549
../../queries/ceb-imdb-full/8a_8a184.csv,12,3370627,4669789,992055,992055,3370627
../../queries/ceb-imdb-full/10a_6c554da5e82fe4f777af80bc59fa6df2773253af.csv,7,15124,19237,6086,6086,15124
../../queries/ceb-imdb-full/1a_1a1411.csv,9,27887,33923,11564,12846,29546
../../queries/ceb-imdb-full/1a_1a1377.csv,9,169022,169125,108685,108685,169022
../../queries/ceb-imdb-full/3a_3a897.csv,10,10321,11206,8567,8567,10321
../../queries/ceb-imdb-full/10a_319cd8d0610deedf44d621e922ca70242d2f9bf0.csv,7,158758,158758,97779,97779,158758
../../queries/ceb-imdb-full/1a_1a462.csv,9,368135,383957,206687,206687,368135
../../queries/ceb-imdb-full/9b_8c7b5e11b7f6f5fb5ef67e46a8d0d88f462afbf2.csv,9,405031,494896,324438,324438,405031
../../queries/ceb-imdb-full/3a_3a667.csv,10,81850,81850,30772,30772,81850
../../queries/ceb-imdb-full/1a_1a2656.csv,9,212574,217076,153915,153915,212574
../../queries/ceb-imdb-full/9b_66cd91f29073e56b982c4e1a7ede3ae15b4376e7.csv,9,1550,1615,905,905,1550
../../queries/ceb-imdb-full/5a_5a946.csv,10,23077,23491,10766,10766,23077
../../queries/ceb-imdb-full/1a_1a2130.csv,9,636816,807305,255302,255302,636816
../../queries/ceb-imdb-full/3a_3a101.csv,10,238308,266411,95195,95195,238308
../../queries/ceb-imdb-full/1a_1a1439.csv,9,2095,2259,933,933,2095
../../queries/ceb-imdb-full/1a_1a304.csv,9,15675,15677,7795,7795,15675
../../queries/ceb-imdb-full/11a_0fdcab8f1e2e27bd0c4b603d98a146a5ee203b6a.csv,10,26725,69151,22119,22119,26725
../../queries/ceb-imdb-full/10a_a64171047b7940fb272528a7a9b1508f705b69ad.csv,7,6757,8798,5797,5797,6757
../../queries/ceb-imdb-full/9b_eef5c57750651de3b54ed0cf9f937f2d6ddb8fff.csv,9,21526,35899,12426,12426,21526
../../queries/ceb-imdb-full/1a_1a310.csv,9,529618,608221,392559,395183,608221
../../queries/ceb-imdb-full/10a_883de06cbadf0d0d45c4a9350cdf2fa4c821a5df.csv,7,73597,99637,58704,58704,73597
../../queries/ceb-imdb-full/1a_1a2124.csv,9,830424,945342,352520,352520,830424
../../queries/ceb-imdb-full/5a_5a952.csv,10,122258,127602,60342,60342,122258
../../queries/ceb-imdb-full/9b_a528848c0da8d23f0e1658a1273dcaf5a609a441.csv,9,182627,245365,152280,152486,190032
../../queries/ceb-imdb-full/3a_3a115.csv,10,51563,63677,23468,23468,51563
../../queries/ceb-imdb-full/3a_3a673.csv,10,414569,505575,366066,366066,414569
../../queries/ceb-imdb-full/1a_1a2642.csv,9,4690,4808,3726,3751,4761
../../queries/ceb-imdb-full/9a_e1d57c6e4ad659ed64037b389b492af5f74a8301.csv,9,118906,517064,110819,110819,118906
../../queries/ceb-imdb-full/1a_1a476.csv,9,3058409,3132477,2243185,2247463,3132477
../../queries/ceb-imdb-full/6a_6a492.csv,14,82278,82613,43300,43300,82278
../../queries/ceb-imdb-full/10a_e1c447a2b85df53294f04dfff077fc17426b4389.csv,7,47878,64879,43410,43410,47878
../../queries/ceb-imdb-full/6a_6a479.csv,14,280893,469321,162106,162514,301152
../../queries/ceb-imdb-full/3a_3a840.csv,10,583,591,383,383,583
../../queries/ceb-imdb-full/10a_840956c87d9bdc352abc58c8287dfb31c952f37b.csv,7,26374,45985,23430,23430,26374
../../queries/ceb-imdb-full/3a_3a698.csv,10,492,636,370,397,597
../../queries/ceb-imdb-full/1a_1a2871.csv,9,2000797,2002419,1410842,1410842,2000797
../../queries/ceb-imdb-full/9a_a0164524890a1fd3221ea4d977294e44091ef7a2.csv,9,273980,273980,239075,239075,273980
../../queries/ceb-imdb-full/8a_8a153.csv,12,504282,739703,145463,145463,504282
../../queries/ceb-imdb-full/5a_5a761.csv,10,2405,6090,1139,1139,2405
../../queries/ceb-imdb-full/9a_ab81258a56445ef8e0fac2304ce41a0c0b0cdc86.csv,9,667926,970104,458695,458695,667926
../../queries/ceb-imdb-full/2a_2a785.csv,11,218908,307022,123048,123917,222771
../../queries/ceb-imdb-full/10a_7422e45cbd0a78cd0ba2be256aae87f95a6748f7.csv,7,51159,54826,42030,42030,51159
../../queries/ceb-imdb-full/9a_a70bf2cc2d2daaf72d11ae6a10c0126718d7e6e2.csv,9,86375,104151,70035,70035,86375
../../queries/ceb-imdb-full/9a_bbee42153d6df0b9173b9c45bc309da648d94ffa.csv,9,286394,289615,239105,240247,289615
../../queries/ceb-imdb-full/8a_8a147.csv,12,5332202,8861190,2023070,2023070,5332202
../../queries/ceb-imdb-full/9a_e51552afcadde50ee32ed01b897d069f81272ac6.csv,9,34487,34487,23027,23027,34487
../../queries/ceb-imdb-full/10a_aa1f474aa02f6ed9a4e596940014e027acda0f95.csv,7,22406,24453,15104,15104,22406
../../queries/ceb-imdb-full/9a_99728fba8c60e4e2900227160b4f90acfb7f182f.csv,9,2853097,4390353,1813972,1813972,2853097
../../queries/ceb-imdb-full/5a_5a775.csv,10,553573,620471,150907,150907,553573
../../queries/ceb-imdb-full/2a_2a791.csv,11,59382,80662,21885,22074,59858
../../queries/ceb-imdb-full/10a_99dd2a3c343a5f0d393dda15fbbedd25e4eb6053.csv,7,345015,420110,304548,321175,368629
../../queries/ceb-imdb-full/3a_3a1259.csv,10,45326,45326,16040,16040,45326
../../queries/ceb-imdb-full/3a_3a854.csv,10,756327,1691876,593010,593010,756327
../../queries/ceb-imdb-full/9a_3cb618543737d0aa65c9c9b9479387704c2857ad.csv,9,140307,488344,131870,131870,140307
../../queries/ceb-imdb-full/1a_1a2865.csv,9,16735,17921,13394,13394,16735
../../queries/ceb-imdb-full/1a_1a489.csv,9,193,193,88,88,193
../../queries/ceb-imdb-full/1a_1a2695.csv,9,4266,4281,3385,3385,4266
../../queries/ceb-imdb-full/3a_3a1271.csv,10,312315,378686,183364,183364,312315
../../queries/ceb-imdb-full/10a_fd26fe6762a3823baca81ef3c51ead7cf3c5e955.csv,7,732939,1371910,462494,462494,732939
../../queries/ceb-imdb-full/6a_6a445.csv,14,29231,61463,12294,12294,29231
../../queries/ceb-imdb-full/6a_6a323.csv,14,191764,338759,72757,72757,191764
../../queries/ceb-imdb-full/9b_9d9db51aee9a3fd62caba9bf096e97ad6a40ff1a.csv,9,17399,19218,13440,13440,17399
../../queries/ceb-imdb-full/9b_f87d6e44dc2f8826f73448d88eb19229194f283b.csv,9,21067,38849,18608,18608,21067
../../queries/ceb-imdb-full/5a_5a985.csv,10,20812,21357,18081,18081,20812
../../queries/ceb-imdb-full/4a_4a126.csv,6,38071,38071,18013,18013,38071
../../queries/ceb-imdb-full/5a_5a749.csv,10,1418407,1715717,416689,416689,1418407
../../queries/ceb-imdb-full/9a_edd963a65e82d6a6b2f0ead33bf56cc5087f0d18.csv,9,126112,126112,110114,110114,126112
../../queries/ceb-imdb-full/9a_79d9206bbe5348d9e3f54eaf18b0e90eedc4a12a.csv,9,63698,126459,59250,59250,63698
../../queries/ceb-imdb-full/4a_4a132.csv,6,56865,72422,25537,27454,72422
../../queries/ceb-imdb-full/5a_5a991.csv,10,12328,12894,5103,5103,12328
../../queries/ceb-imdb-full/9a_45f2806aba545e30aa02869c73d293d813bcc8be.csv,9,52201,107679,47420,47420,52201
../../queries/ceb-imdb-full/6a_6a337.csv,14,209069,353123,59544,59544,209069
../../queries/ceb-imdb-full/9a_6a5da5c8b244eee246c9aad406e490a53d864514.csv,9,212852,243699,62980,69793,243699
../../queries/ceb-imdb-full/6a_6a451.csv,14,109446,279497,51960,51960,109446
../../queries/ceb-imdb-full/1a_1a1388.csv,9,355765,434722,163735,163735,355765
../../queries/ceb-imdb-full/9a_1baf48afaa694269f1be5ea37c436b93f3e9f7e3.csv,9,704172,1610513,568492,568492,704172
../../queries/ceb-imdb-full/1a_1a2681.csv,9,1512,1512,1385,1385,1512
../../queries/ceb-imdb-full/3a_3a1265.csv,10,419426,448887,316118,316118,419426
../../queries/ceb-imdb-full/3a_3a868.csv,10,215502,280369,95340,95340,215502
../../queries/ceb-imdb-full/1a_1a2859.csv,9,502354,533729,365439,367104,512330
../../queries/ceb-imdb-full/4a_4a69.csv,6,6873,6873,2257,2257,6873
../../queries/ceb-imdb-full/2a_2a154.csv,11,52925,59384,26729,26729,52925
../../queries/ceb-imdb-full/10a_2b52c718cd6d41cd88090f3a2a51c2cb2919ef58.csv,7,121788,121788,96087,96087,121788
../../queries/ceb-imdb-full/7a_7a30.csv,16,51711,69219,18813,18813,51711
../../queries/ceb-imdb-full/3b_77576b58511a33ce501c9cf00b96c108c587fbfe.csv,10,10050,11192,5269,5269,10050
../../queries/ceb-imdb-full/1a_1a1217.csv,9,615738,771587,325331,325331,615738
../../queries/ceb-imdb-full/9a_e5dc98abc61be0bafe7176067049f72afb8a5780.csv,9,111600,111600,65380,65380,111600
../../queries/ceb-imdb-full/3b_91ffe671e8678f12df8106f8b19fec19ed42ab45.csv,10,11953,20029,10285,10285,11953
../../queries/ceb-imdb-full/1a_1a1571.csv,9,65029,67374,47482,47958,67023
../../queries/ceb-imdb-full/9a_b3826e9a91b283766103bde67aa1f0383a711664.csv,9,12364,24200,5772,6009,15462
../../queries/ceb-imdb-full/9b_a08a2e3bb2de3b62bba544c7ce5033f61cb2f554.csv,9,3176,7208,1707,1707,3176
../../queries/ceb-imdb-full/2a_2a632.csv,11,197327,283543,72433,72433,197327
../../queries/ceb-imdb-full/1a_1a2078.csv,9,41442,41442,27810,27810,41442
../../queries/ceb-imdb-full/2a_2a626.csv,11,4585251,4617470,1467612,1467612,4585251
../../queries/ceb-imdb-full/9a_35026ba0894a2321cce876d3368a93e6fd205d8c.csv,9,67249,67249,43666,43666,67249
../../queries/ceb-imdb-full/1a_1a258.csv,9,29600,30956,15118,15575,30956
../../queries/ceb-imdb-full/1a_1a1565.csv,9,402242,446019,266176,274688,445671
../../queries/ceb-imdb-full/9a_94d991ab0ea97739f40a01a2572bf47f23c2fb04.csv,9,457784,489354,213022,213022,457784
../../queries/ceb-imdb-full/9a_e126390fa919de0f6a988428d8f27ebf816db3cd.csv,9,216050,216050,128797,128797,216050
../../queries/ceb-imdb-full/7a_7a24.csv,16,15938,37499,11687,11687,15938
../../queries/ceb-imdb-full/2b_2b119.csv,11,18178,18558,11843,11843,18178
../../queries/ceb-imdb-full/1a_1a1203.csv,9,512464,520089,332588,337057,520089
../../queries/ceb-imdb-full/6a_6a13.csv,14,3443,7025,1650,1692,3454
../../queries/ceb-imdb-full/9a_1b111884983f737beee478e2d8d8b86d86c4f9a4.csv,9,40821,75877,38091,38091,40821
../../queries/ceb-imdb-full/10a_448f109608e8d87c0dbd7c70901c135506c8fc33.csv,7,4824,9222,2868,2868,4824
../../queries/ceb-imdb-full/2a_2a140.csv,11,19396,19396,9805,9805,19396
../../queries/ceb-imdb-full/9b_c70199d95488a4b61c40674bf6853ff1281fdde7.csv,9,74413,102893,36224,36224,74413
../../queries/ceb-imdb-full/2b_2b131.csv,11,44673,48716,17489,17904,48716
../../queries/ceb-imdb-full/2c_2c106.csv,9,957,1352,687,687,957
../../queries/ceb-imdb-full/1a_1a516.csv,9,66781,79921,39839,39839,66781
../../queries/ceb-imdb-full/4a_4a55.csv,6,11973,11973,5797,5797,11973
../../queries/ceb-imdb-full/1a_1a2722.csv,9,288257,377220,217195,231499,298162
../../queries/ceb-imdb-full/9a_f2db0cb1aab9bf7686dde8e3f3ab9d0507531354.csv,9,75081,75081,53803,53803,75081
../../queries/ceb-imdb-full/11a_98a5b8d48da463e5bd46c642fac61a1e7691e024.csv,10,6312805,8172264,1842580,1842580,6312805
../../queries/ceb-imdb-full/2a_2a168.csv,11,35218,50165,11843,11843,35218
../../queries/ceb-imdb-full/5a_5a62.csv,10,32954,34693,14442,14442,32954
../../queries/ceb-imdb-full/3a_3a713.csv,10,140258,223629,78857,78857,140258
../../queries/ceb-imdb-full/1a_1a2044.csv,9,259384,266901,197627,200880,266901
../../queries/ceb-imdb-full/5a_5a832.csv,10,14705,17005,5022,5022,14705
../../queries/ceb-imdb-full/1a_1a95.csv,9,1022290,1372839,747092,755329,1137278
../../queries/ceb-imdb-full/9a_e92b2a95b897f6c3bb2b170c02f86381a1e7ed67.csv,9,108591,120561,91119,91119,108591
../../queries/ceb-imdb-full/1a_1a270.csv,9,4506,4507,2988,2988,4506
../../queries/ceb-imdb-full/11a_5841cd61f1bd7a00ea97c7cc79d39f0d8e486bcd.csv,10,1243731,1624603,425909,425909,1243731
../../queries/ceb-imdb-full/10a_84163cb3e8942d140459775ed4dda56dcceaaef7.csv,7,191616,266069,86811,86811,191616
../../queries/ceb-imdb-full/1a_1a264.csv,9,410373,437955,280993,284345,411404
../../queries/ceb-imdb-full/1a_1a1559.csv,9,110475,112432,70292,77351,112398
../../queries/ceb-imdb-full/11b_55ef444e9e1f9fc9e35eb7dcb8e71f184d148053.csv,12,97035,111072,64990,64990,97035
../../queries/ceb-imdb-full/6a_6a280.csv,14,299100,754049,121569,121569,299100
../../queries/ceb-imdb-full/5a_5a826.csv,10,26380,26380,10278,10278,26380
../../queries/ceb-imdb-full/1a_1a2050.csv,9,17673,19794,9805,9805,17673
../../queries/ceb-imdb-full/1a_1a81.csv,9,2015182,2441191,1280342,1305261,2441191
../../queries/ceb-imdb-full/11b_7c3f6848da1ff7548fc416a9eaeafda27ffaa019.csv,12,365945,370046,211239,211239,365945
